,X1,X2,Y
0,0.0,0.0,0.0
1,0.002004008016032064,0.001002004008016032,2.0120508539797572e-11
2,0.004008016032064128,0.002004008016032064,1.609647147621528e-10
3,0.0060120240480961915,0.0030060120240480957,5.432595486152156e-10
4,0.008016032064128256,0.004008016032064128,1.2877384047964066e-09
5,0.01002004008016032,0.00501002004008016,2.515144375672291e-09
6,0.012024048096192383,0.0060120240480961915,4.346233484852809e-09
7,0.014028056112224447,0.007014028056112224,6.9017779216381125e-09
8,0.01603206412825651,0.008016032064128256,1.030256927655632e-08
9,0.018036072144288574,0.009018036072144287,1.4669421778210704e-08
10,0.02004008016032064,0.01002004008016032,2.012317553165489e-08
11,0.022044088176352703,0.011022044088176352,2.6784699758514866e-08
12,0.024048096192384766,0.012024048096192383,3.477489603907687e-08
13,0.026052104208416832,0.013026052104208416,4.4214701556560365e-08
14,0.028056112224448895,0.014028056112224447,5.5225092343795376e-08
15,0.03006012024048096,0.01503006012024048,6.792708653252455e-08
16,0.03206412825651302,0.01603206412825651,8.244174760554919e-08
17,0.03406813627254509,0.017034068136272545,9.889018765194052e-08
18,0.03607214428857715,0.018036072144288574,1.1739357062553608e-07
19,0.038076152304609215,0.019038076152304607,1.3807311560694362e-07
20,0.04008016032064128,0.02004008016032064,1.6105010006927241e-07
21,0.04208416833667334,0.02104208416833667,1.8644586314781557e-07
22,0.044088176352705406,0.022044088176352703,2.1438180891390515e-07
23,0.04609218436873747,0.023046092184368736,2.449794096531625e-07
24,0.04809619238476953,0.024048096192384766,2.783602091483685e-07
25,0.0501002004008016,0.0250501002004008,3.1464582596717687e-07
26,0.052104208416833664,0.026052104208416832,3.53957956754895e-07
27,0.05410821643286573,0.027054108216432865,3.964183795325583e-07
28,0.05611222444889779,0.028056112224448895,4.4214895700052315e-07
29,0.058116232464929855,0.029058116232464928,4.912716398478059e-07
30,0.06012024048096192,0.03006012024048096,5.439084700673926e-07
31,0.06212424849699398,0.03106212424849699,6.00181584277751e-07
32,0.06412825651302605,0.03206412825651302,6.602132170507708e-07
33,0.06613226452905811,0.033066132264529056,7.241257042463611e-07
34,0.06813627254509018,0.03406813627254509,7.920414863539377e-07
35,0.07014028056112225,0.03507014028056112,8.64083111841029e-07
36,0.0721442885771543,0.03607214428857715,9.403732405092316e-07
37,0.07414829659318636,0.03707414829659318,1.021034646857755e-06
38,0.07615230460921843,0.038076152304609215,1.1061902234547738e-06
39,0.0781563126252505,0.03907815631262525,1.195962984316842e-06
40,0.08016032064128256,0.04008016032064128,1.290476068296587e-06
41,0.08216432865731463,0.041082164328657314,1.3898527424789325e-06
42,0.08416833667334668,0.04208416833667334,1.494216405586076e-06
43,0.08617234468937875,0.04308617234468937,1.603690591391475e-06
44,0.08817635270541081,0.044088176352705406,1.7183989721430618e-06
45,0.09018036072144288,0.04509018036072144,1.8384653619959454e-06
46,0.09218436873747494,0.04609218436873747,1.9640137204548304e-06
47,0.09418837675350701,0.047094188376753505,2.095168155826407e-06
48,0.09619238476953906,0.04809619238476953,2.2320529286819336e-06
49,0.09819639278557113,0.049098196392785565,2.3747924553303005e-06
